id,province_code,city_code,district_code,district,created_at,updated_at
177,32,3215,321511,CIBUAYA,,
178,32,3211,321104,CIBUGEL,,
179,32,3201,320116,CIBUNGBULANG,,
180,32,3204,320425,CICALENGKA,,
181,32,3202,320228,CICANTAYAN,,
182,32,3215,321519,LEMAHABANG,,
183,32,3202,320216,CICURUG,,
184,32,3273,327308,CIDADAP,,
185,32,3202,320244,CIDADAP,,
186,15,1502,150209,LEMBAH MASURAI,,
187,32,3202,320217,CIDAHU,,
188,11,1112,111209,LEMBAH SABIL,,
189,32,3202,320243,CIDOLOG,,
190,32,3202,320222,CIEMAS,,
191,32,3206,320627,CIGALONTANG,,
192,12,1213,121309,LEMBAH SORIK MARAPI,,
193,91,9103,910301,SENTANI,,
194,32,3210,321020,CIGASONG,,
195,36,3672,367202,CILEGON,,
196,36,3602,360210,CILELES,,
197,32,3204,320407,CILENGKRANG,,
198,32,3201,320107,CILEUNGSI,,
199,32,3204,320405,CILEUNYI,,
200,32,3217,321711,CILILIN,,
201,12,1208,120827,SILOU KAHEAN,,
202,36,3602,360228,CIGEMLONG,,
203,36,3601,360105,CIGEULIS,,
204,32,3201,320138,CIGOMBONG,,
205,32,3201,320122,CIGUDEG,,
206,32,3208,320818,CIGUGUR,,
207,32,3218,321804,CIGUGUR,,
208,32,3213,321302,CISALAK,,
209,32,3217,321703,CISARUA,,
210,32,3201,320125,CISARUA,,
211,32,3211,321123,CISARUA,,
212,36,3601,360123,CISATA,,
213,13,1373,137303,SILUNGKANG,,
214,36,3602,360226,CIHARA,,
215,32,3207,320706,CIHAURBEUTI,,
216,32,3202,320205,CISOLOK,,
217,32,3205,320528,CISOMPET,,
218,32,3205,320520,CISURUPAN,,
219,93,9303,930303,CITAK-MITAK,,
220,64,6407,640717,SILUQ NGURAI,,
221,35,3502,350210,SIMAN,,
222,13,1301,130103,LENGAYANG,,
223,16,1601,160128,LENGKITI,,
224,12,1220,122008,SIMANGAMBAT,,
225,12,1202,120207,SIMANGUMBAN,,
226,63,6306,630602,PADANG BATUNG,,
227,36,3602,360216,CIJAKU,,
228,32,3213,321319,CIJAMBE,,
229,32,3203,320329,CIJATI,,
230,14,1405,140502,PANGKALAN KERINCI,,
231,32,3218,321802,CIJULANG,,
232,32,3203,320326,CIKADU,,
233,32,3205,320522,CIKAJANG,,
234,32,3202,320203,CIKAKAK,,
235,32,3206,320603,CIKALONG,,
236,13,1307,130706,PANGKALAN KOTO BARU,,
237,32,3204,320427,CIKANCUNG,,
238,36,3604,360415,CIKANDE,,
239,32,3216,321608,CIKARANG BARAT,,
240,32,3216,321620,CIKARANG PUSAT,,
241,32,3216,321607,CIKARANG SELATAN,,
242,18,1802,180210,SEPUTIH BANYAK,,
243,18,1802,180211,SEPUTIH MATARAM,,
244,18,1802,180208,SEPUTIH RAMAN,,
245,12,1217,121701,SIMANINDO,,
246,73,7309,730909,SIMBANG,,
247,76,7602,760212,SIMBORO,,
248,73,7318,731809,SIMBUANG,,
249,16,1603,160317,LEMBAK,,
250,11,1109,110906,SIMEULUE BARAT,,
251,32,3206,320605,CIKATOMAS,,
252,32,3213,321322,CIKAUM,,
253,36,3601,360126,CIKEDAL,,
254,32,3212,321204,CIKEDUNG,,
255,32,3205,320530,CIKELET,,
256,32,3202,320210,CIKEMBAR,,
257,36,3604,360423,CIKEUSAL,,
258,36,3601,360104,CIKEUSIK,,
259,32,3202,320206,CIKIDANG,,
260,53,5305,530515,LEMBUR,,
261,32,3272,327206,LEMBURSITU,,
262,71,7105,710507,MOTOLING,,
263,32,3207,320702,CIKONENG,,
264,36,3602,360217,CIKULUR,,
265,36,3603,360318,CIKUPA,,
266,33,3301,330121,CILACAP SELATAN,,
267,75,7504,750402,LEMITO,,
268,32,3203,320304,CILAKU,,
269,16,1602,160213,LEMPUING,,
270,16,1602,160222,LEMPUING JAYA,,
271,52,5204,520427,LENANGGUAR,,
272,32,3215,321515,CILAMAYA WETAN,,
273,31,3174,317406,CILANDAK,,
274,32,3205,320519,CILAWU,,
275,16,1603,160322,MUARA BELIDA,,
276,16,1605,160509,MUARA BELITI,,
277,62,6208,620804,PANTAI LUNCI,,
278,34,3401,340105,LENDAH,,
279,95,9504,950422,TIMORI,,
280,32,3273,327313,LENGKONG,,
281,35,3518,351819,LENGKONG,,
282,32,3202,320207,LENGKONG,,
283,32,3209,320926,CIWARINGIN,,
284,32,3208,320804,CIWARU,,
285,32,3204,320439,CIWIDEY,,
286,11,1105,110512,PANTON REU,,
287,31,3172,317204,CILINCING,,
288,32,3276,327608,CILODONG,,
289,36,3602,360220,CILOGRANG,,
290,33,3302,330217,CILONGOK,,
291,35,3510,351006,CLURING,,
292,33,3318,331818,CLUWAK,,
293,32,3277,327701,CIMAHI SELATAN,,
294,32,3277,327702,CIMAHI TENGAH,,
295,32,3277,327703,CIMAHI UTARA,,
296,32,3211,321122,CIMALAKA,,
297,32,3276,327602,CIMANGGIS,,
298,33,3301,330113,CIMANGGU,,
299,36,3601,360102,CIMANGGU,,
300,32,3202,320246,CIMANGGU,,
301,32,3211,321114,CIMANGGUNG,,
302,36,3601,360118,CIMANUK,,
303,73,7316,731608,CURIO,,
304,36,3602,360211,CIMARGA,,
305,32,3204,320417,CIMAUNG,,
306,32,3204,320406,CIMENYAN,,
307,32,3218,321803,CIMERAK,,
308,73,7308,730810,CINA,,
309,94,9402,940225,DAGAI,,
310,35,3519,351904,DAGANGAN,,
311,63,6306,630611,DAHA BARAT,,
312,36,3604,360431,CINANGKA,,
313,32,3206,320620,CINEAM,,
314,32,3276,327609,CINERE,,
315,63,6308,630801,DANAU PANGGANG,,
316,32,3210,321010,LEUWIMUNDING,,
317,32,3201,320139,LEUWISADENG,,
318,35,3529,352907,LENTENG,,
319,19,1903,190302,LEPAR,,
320,53,5308,530821,LEPEMBUSU KELISOKE,,
321,15,1571,157106,DANAU TELUK,,
322,11,1106,110622,LEUPUNG,,
323,11,1102,110216,LEUSER,,
324,36,3602,360206,LEUWIDAMAR,,
325,32,3205,320511,LEUWIGOONG,,
326,32,3201,320114,LEUWILIANG,,
327,32,3206,320628,LEUWISARI,,
328,53,5311,531103,LEWA,,
329,32,3207,320711,CIPAKU,,
330,32,3203,320328,CIPANAS,,
331,36,3602,360204,CIPANAS,,
332,32,3204,320429,CIPARAY,,
333,33,3301,330118,CIPARI,,
334,32,3217,321707,CIPATAT,,
